table,column,count,unique,top,freq,mean,std,min,25%,50%,75%,max,stage
player_injuries,player_id,77871.0,,,,354195.6210142415,238923.30902059178,2857.0,170672.0,309393.0,487474.0,1406115.0,raw
player_injuries,season_name,77871,47,24/25,14218,,,,,,,,raw
player_injuries,injury_reason,77871,364,unknown injury,13788,,,,,,,,raw
player_injuries,from_date,77831,4930,2021-04-01,131,,,,,,,,raw
player_injuries,end_date,76762,4943,2024-06-30,313,,,,,,,,raw
player_injuries,days_missed,77831.0,,,,45.09708213950739,67.79220964190884,1.0,9.0,21.0,48.0,1440.0,raw
player_injuries,games_missed,77871.0,,,,6.074559206893452,8.61226715897905,0.0,1.0,3.0,7.0,138.0,raw
player_latest_market_value,player_id,31026.0,,,,586351.8427447947,319292.12677503034,2857.0,329380.0,565403.5,839421.5,1415065.0,raw
player_latest_market_value,date_unix,31026,441,2025-06-18,2406,,,,,,,,raw
player_latest_market_value,value,31026.0,,,,1717881.9377296462,6379659.318215035,0.0,100000.0,300000.0,800000.0,200000000.0,raw
player_performances,player_id,760125.0,,,,461049.98293701693,308163.42056601326,2857.0,212333.0,392961.0,657635.0,1431081.0,raw
player_performances,season_name,760125,56,24/25,88010,,,,,,,,raw
player_performances,competition_id,760125,1422,CGB,13116,,,,,,,,raw
player_performances,competition_name,760125,1693,FA Cup,13098,,,,,,,,raw
player_performances,team_id,760125.0,,,,12359.797388587403,20183.670080217118,1.0,762.0,3537.0,13261.0,132946.0,raw
player_performances,team_name,760125,9404,Arsenal FC,1816,,,,,,,,raw
player_performances,nb_in_group,760125.0,,,,9.68610031244861,10.681957283603612,1.0,2.0,4.0,15.0,50.0,raw
player_performances,nb_on_pitch,760125.0,,,,7.79842262785726,9.622964920087139,0.0,1.0,3.0,12.0,50.0,raw
player_performances,goals,700316.0,,,,0.9274170517309329,2.2194638477178503,0.0,0.0,0.0,1.0,50.0,raw
player_performances,assists,760125.0,,,,0.5137089294523927,1.317154663093216,0.0,0.0,0.0,0.0,29.0,raw
